appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
516890,Alchemic Jousts,Lunatic Pixels,Lunatic Pixels,,30,4,0,"0 .. 20,000",0,0,0,0,899,899,0,0
505070,Secrets of Me,Dogenzaka Lab,Dogenzaka Lab,,31,8,0,"0 .. 20,000",0,0,0,0,1599,1599,0,0
517190,Rebound,Omnirift,Omnirift,,3,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
538550,Party Golf,Giant Margarita,Giant Margarita,,39,8,0,"0 .. 20,000",0,0,0,0,149,1499,90,0
436400,Heroes of the Seven Seas VR,"Mirage Interactive, 北京魔视互动科技有限公司","Mirage Interactive, 北京魔视互动科技有限公司",,33,12,0,"0 .. 20,000",0,0,0,0,699,699,0,0
543710,Cogito,Evan Downing,Evan Downing,,11,5,0,"0 .. 20,000",0,0,0,0,599,599,0,0
527210,Janken Cards,GKT Studios Entertainment,GKT Studios Entertainment,,22,13,0,"0 .. 20,000",1,0,1,0,299,299,0,0
392330,Take Command - 2nd Manassas,"MadMinute Games, NorbSoftDev",NorbSoftDev,,49,3,0,"0 .. 20,000",0,0,0,0,999,999,0,2
340560,Wanted Corp.,Eko Software,Eko Software,,5,6,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
350480,Tales of Cosmos,Red Dwarf Games,Red Dwarf Games,,41,8,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
544800,Driftwatch VR,Sevenedge Interactive Media,Sevenedge Interactive Media,,7,13,0,"0 .. 20,000",0,0,0,0,299,299,0,0
547880,Alien Invasion Tower Defense,guyhezi,guyhezi,,6,10,0,"0 .. 20,000",0,0,0,0,199,199,0,0
543980,Zombie Exodus: Safe Haven,Hosted Games,Hosted Games,,119,14,0,"0 .. 20,000",514,0,514,0,499,499,0,3
545330,AL･FINE,CrimsonRabbit,Sekai Project,,16,27,0,"0 .. 20,000",60,0,60,0,1499,1499,0,0
512460,Nature And Life - Drunk On Nectar,Venugopalan Sreedharan,Venugopalan Sreedharan,,133,14,0,"0 .. 20,000",0,0,0,0,1199,1499,20,5
550820,Kitten Cannon,"Chris Gallello, Sasha Alexandra",Mr. Paws,,27,7,0,"0 .. 20,000",0,0,0,0,0,0,0,0
396420,,,Aterdux Entertainment,,25,13,0,"0 .. 20,000",0,0,0,0,0,0,0,0
541960,TRI.DEFENDER,NIGHTBOX,NIGHTBOX,,5,2,0,"0 .. 20,000",113,0,113,0,99,99,0,0
544880,Limelight VR,Virtual Neuroscience Lab,Virtual Neuroscience Lab,,1,3,0,"0 .. 20,000",0,0,0,0,799,799,0,0
288860,Realms of Arkania: Star Trail,"United Independent Entertainment GmbH, Crafty Studios",United Independent Entertainment GmbH,,107,40,0,"0 .. 20,000",0,0,0,0,2999,2999,0,5
526310,Silhouette: Chapter One,Apeirogon Games,Apeirogon Games,,13,4,0,"0 .. 20,000",0,0,0,0,0,0,0,0
552240,Fancy Trangram VR,哈视奇科技,哈视奇科技,,8,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
535980,Phrase Shift,Hyper Hippo Games,Hyper Hippo Games,,39,5,0,"0 .. 20,000",0,0,0,0,299,299,0,0
511390,Base Raid,Sageose,Sageose,,7,2,0,"0 .. 20,000",232,0,232,0,499,499,0,0
539050,Super Island God VR,Empyrean Interactive,Empyrean Interactive,,36,21,0,"0 .. 20,000",84,0,84,0,999,999,0,0
540410,Queendoom,EP Games®,EP Games®,,20,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
551100,Oblivion's Edge,Odd Emu,MMOVentures,,5,2,0,"0 .. 20,000",0,0,0,0,199,199,0,0
536370,Percussive VR,Jamhack Games,Jamhack Games,,6,2,0,"0 .. 20,000",0,0,0,0,2999,2999,0,0
556740,LEGRAND LEGACY: Tale of the Fatebounds,SEMISOFT,"Another Indie, Mayflower Entertainment [KR]",,270,116,0,"0 .. 20,000",247,0,247,0,1999,1999,0,5
553450,The Purge Day,Red Limb Studio,Red Limb Studio,,24,18,0,"0 .. 20,000",0,0,0,0,299,299,0,0
