,0
1231,393330
1232,936100
1233,604010
1234,1276040
1235,954590
1236,708780
1237,897900
1238,757540
1239,1555950
1240,859380
1241,1345610
1242,1522710
1243,407190
1244,1253680
1245,366760
1246,1477730
1247,1620540
1248,425300
1249,625700
1250,510080
1251,1431040
1252,400380
1253,1087110
1254,752520
1255,543460
1256,508550
1257,1451480
1258,310490
1259,931560
1260,570710
1261,327310
1262,1342790
1263,626200
1264,1243220
1265,1066630
1266,1200710
1267,1300430
1268,787040
1269,564070
1270,420330
1271,1595310
1272,1493970
1273,1401750
1274,1460250
1275,1382840
1276,1506760
1277,1297320
1278,418650
1279,347940
1280,1081250
1281,375440
1282,386280
1283,669050
1284,571720
1285,538990
1286,553480
1287,588710
1288,33520
1289,259740
1290,735450
1291,274230
1292,543870
1293,495140
1294,397190
1295,622870
1296,1334730
1297,1001800
1298,779330
1299,1381780
1300,1678140
1301,272330
1302,252010
1303,435790
1304,1094930
1305,865940
1306,446540
1307,319470
1308,384280
1309,365870
1310,623940
1311,443650
1312,16730
1313,571340
1314,293180
1315,298830
1316,506840
1317,429360
1318,1364730
1319,383670
1320,1213680
1321,747690
1322,1400870
1323,259640
1324,969870
1325,885120
1326,362130
1327,1515140
1328,1481060
1329,1685850
1330,1339870
1331,1248460
1332,681980
1333,655760
1334,1596820
1335,1585030
1336,1627220
1337,1491780
1338,1472320
1339,1122710
1340,1381450
1341,616680
1342,1520570
1343,1456720
1344,1031230
1345,1464390
1346,1660430
1347,1655480
1348,1665990
1349,1559660
1350,1653910
1351,269050
1352,635200
1353,297120
1354,629220
1355,593640
1356,40720
1357,515650
1358,284260
1359,1068360
1360,205730
1361,287580
1362,835650
1363,314830
1364,232050
1365,769950
1366,203630
1367,205990
1368,872680
1369,669500
1370,975270
1371,3170
1372,1299620
1373,294370
1374,289520
1375,203350
1376,218090
1377,957720
1378,888130
1379,462240
1380,844860
1381,63910
1382,337760
1383,833170
1384,791400
1385,814530
1386,1106750
1387,348460
1388,690460
1389,897410
1390,202710
1391,262750
1392,282560
1393,761910
1394,437000
1395,604770
1396,676030
1397,1278210
1398,1549240
1399,1551220
1400,1276490
1401,1123500
1402,267220
1403,1361750
1404,1533500
1405,1617160
1406,1425030
1407,1632690
1408,1503140
1409,1490490
1410,1305940
1411,1553970
1412,1588600
1413,1634320
1414,1528470
1415,1414240
1416,1635810
1417,1576790
1418,1549650
1419,1546210
1420,844580
1421,1596890
1422,856190
1423,1648080
1424,1563100
1425,1553940
1426,1560530
1427,1653510
1428,757350
1429,1419730
1430,241320
1431,353540
1432,1505620
1433,357300
1434,725780
1435,316080
1436,623320
1437,632250
1438,1229060
1439,1381530
1440,654660
1441,1004650
1442,785890
1443,1180540
1444,207570
1445,577360
1446,1363850
1447,1471960
1448,721390
1449,868230
1450,1508620
1451,399420
1452,766740
1453,1392490
1454,58230
1455,915080
1456,819960
1457,1276530
1458,1458560
1459,973250
1460,450650
1461,487370
1462,1086750
1463,731520
1464,1465390
1465,1384960
1466,343570
1467,1658880
1468,874400
1469,796840
1470,950140
1471,1162430
1472,1162440
1473,742340
1474,1399300
1475,662410
1476,1214850
1477,364850
1478,537380
1479,996980
1480,727200
1481,670850
1482,1618220
1483,1424640
1484,487590
1485,1255130
1486,1103550
1487,1524690
1488,1474580
1489,1021070
1490,1100930
1491,529160
1492,657090
1493,223490
1494,531680
1495,711980
1496,408990
1497,497850
1498,342480
1499,705280
1500,249950
1501,347600
1502,415030
1503,1497950
1504,404530
1505,300340
1506,250580
1507,435100
1508,760800
1509,459370
1510,339570
1511,990360
1512,1555220
1513,1078490
1514,1528810
1515,753660
1516,951940
1517,795680
1518,1222340
1519,595270
1520,1035950
1521,689570
1522,1263200
1523,1016000
1524,842870
1525,1081850
1526,1143350
1527,1016330
1528,1293520
1529,1109720
1530,755490
1531,969200
1532,767050
1533,1261660
1534,1252850
1535,867010
1536,1151180
1537,1333890
1538,908830
1539,1600870
1540,1630910
1541,914190
1542,1291100
1543,1201500
1544,1418460
1545,1410700
1546,678150
1547,1157670
1548,1229450
1549,1181160
1550,1623380
1551,1567930
1552,1399990
1553,1199560
1554,1283380
1555,252750
1556,260330
1557,498720
1558,260530
1559,72400
1560,502130
1561,428830
1562,210170
1563,1493910
1564,1003450
1565,562330
1566,1528050
1567,7800
1568,392600
1569,1295860
1570,325110
1571,511070
1572,1592340
1573,918450
1574,350330
1575,1473870
1576,1400360
1577,1376340
1578,1342660
1579,1529430
1580,1483470
1581,853260
1582,854950
1583,604990
1584,1572970
1585,746770
1586,1595300
1587,1449470
1588,1542870
1589,1647110
1590,438640
1591,32440
1592,285160
1593,32510
1594,204120
1595,640590
1596,818320
1597,311770
1598,1525620
1599,32330
1600,32450
1601,548480
1602,1218900
1603,1370170
1604,1368120
1605,1069910
1606,1558210
1607,1441400
1608,1550280
1609,354280
1610,1593410
1611,1090790
1612,1300060
1613,1551990
1614,1300390
1615,1383120
1616,1301580
1617,1251760
1618,1270420
1619,1444390
1620,905130
1621,1509400
1622,1450020
1623,1496620
1624,1372270
1625,1433530
1626,1402010
1627,1378250
1628,1674370
1629,1398130
1630,1554020
