0,1,2,3
GME00125218,18700102,PRCP,0
GME00125218,18700102,SNWD,0
HR000142360,18700102,PRCP,4
HRE00105189,18700102,PRCP,113
ITE00100550,18700102,TMAX,15
ITE00100550,18700102,TMIN,-25
ITE00100550,18700102,PRCP,40
ITE00100552,18700102,PRCP,282
ITE00100553,18700102,PRCP,0
ITE00100554,18700102,TMAX,-1
ITE00100554,18700102,TMIN,-21
ITE00100554,18700102,PRCP,48
ITE00105250,18700102,PRCP,2
NLE00100499,18700102,PRCP,2
NLE00100503,18700102,PRCP,0
NLE00100510,18700102,PRCP,0
NLE00101991,18700102,PRCP,0
NLE00102079,18700102,PRCP,0
NLM00006235,18700102,PRCP,39
SF000208660,18700102,PRCP,0
SF000847010,18700102,PRCP,0
SW000002196,18700102,PRCP,0
SW000002361,18700102,PRCP,0
SW000002590,18700102,PRCP,4
SW000010537,18700102,PRCP,0
SWE00100003,18700102,PRCP,0
SWE00100026,18700102,PRCP,31
SWE00137568,18700102,PRCP,0
SWE00137832,18700102,PRCP,0
SWE00138212,18700102,PRCP,0
SWE00138464,18700102,PRCP,10
SWE00138488,18700102,PRCP,0
SWE00139044,18700102,PRCP,54
SWE00140186,18700102,PRCP,0
SWE00140492,18700102,PRCP,0
SWM00002485,18700102,PRCP,18
SZ000006717,18700102,TMAX,-72
SZ000006717,18700102,TMIN,-100
UK000047811,18700102,TMAX,83
UK000047811,18700102,TMIN,-2
UK000047811,18700102,PRCP,0
UK000056225,18700102,TMAX,94
UK000056225,18700102,TMIN,66
UK000056225,18700102,PRCP,55
USC00023096,18700102,PRCP,0
USC00043157,18700102,TMAX,11
USC00043157,18700102,TMIN,-128
USC00043157,18700102,PRCP,0
USC00053010,18700102,PRCP,0
USC00064757,18700102,PRCP,358
USC00064767,18700102,PRCP,508
USC00090840,18700102,PRCP,0
USC00134049,18700102,PRCP,0
USC00144559,18700102,PRCP,0
USC00264939,18700102,PRCP,0
USC00271682,18700102,TMAX,122
USC00271682,18700102,TMIN,-28
USC00271682,18700102,PRCP,483
USC00271682,18700102,SNOW,0
USC00288878,18700102,TMAX,156
USC00288878,18700102,TMIN,67
USC00288878,18700102,PRCP,483
USC00288878,18700102,SNOW,0
USC00298072,18700102,PRCP,0
